species,fruit_type,color,length.max_mm
Pleroma_ferricola,dry,colored,12.5
Pleroma_fothergillii,dry,colored,28
Pleroma_foveolatum,dry,colored,39
Pleroma_fragae,dry,colored,14
Pleroma_frigidulum,dry,colored,23
Pleroma_granulosum,dry,colored,33
Pleroma_guartelaensis,dry,colored,27.9
Pleroma_hatschbachii,dry,colored,30
Pleroma_heteromallum,dry,colored,19.5
Pleroma_hospitum,dry,white,9
Pleroma_integerrimum,dry,white,9
Pleroma_kuhlmannii,dry,colored,50
Pleroma_langsdorffianum,dry,colored,23
Pleroma_leopoldinensis,dry,colored,18
Pleroma_lutzii,dry,colored,20
Pleroma_martiale,dry,colored,20
Pleroma_minus,dry,colored,15
Pleroma_minutiflorum,dry,white,3
Pleroma_molle,dry,colored,15
Pleroma_mosenii,dry,colored,10
Pleroma_petiolatum,dry,colored,9
Pleroma_raddianum,dry,colored,52
Pleroma_reitzii,dry,colored,39
Pleroma_riedelianum,dry,colored,20
Pleroma_scaberrimum,dry,colored,16
Pleroma_schenckii,dry,colored,19
Pleroma_sellowianum,dry,colored,34
Pleroma_semidecandrum,dry,colored,43
Pleroma_setosociliatum,dry,colored,28.8
Pleroma_stenocarpum,dry,colored,28
Pleroma_tedescoi,dry,colored,22
Pleroma_ursinum,dry,colored,21
Pleroma_urvilleanum,dry,colored,40
Pleroma_wurdackianum,dry,colored,16
Poilannammia_costata,dry,colored,3
Poilannammia_incisa,dry,colored,6
Pseudodissochaeta_assamica,fleshy,colored,3
Pseudodissochaeta_septentrionalis,fleshy,colored,10
Pseudoernestia_glandulosa,dry,white,8
Pternandra_echinata,fleshy,colored,13
Pternandra_tuberculata,fleshy,colored,5
Pterolepis_alpestris,dry,colored,13
Pterolepis_buraeavii,dry,colored,12
Pterolepis_cataphracta,dry,colored,10
Pterolepis_cearensis,dry,colored,6
Pterolepis_glomerata,dry,colored,12
Pterolepis_haplostemona,dry,colored,5.5
Pterolepis_parnassiifolia,dry,colored,14
Pterolepis_perpusilla,dry,colored,5
Pterolepis_picorondonica,dry,white,8.5
Pterolepis_polygonoides,dry,colored,8
Pterolepis_repanda,dry,colored,22
Pterolepis_riedeliana,dry,colored,12
Pterolepis_rotundifolia,dry,colored,15
Pterolepis_stenophylla,dry,colored,7
Pterolepis_trichotoma,dry,colored,12
Quipuanthus_epipetricus,dry,colored,17
Rhexia_alifanus,dry,colored,25
Rhexia_lutea,dry,colored,15
Rhexia_mariana,dry,colored,20
Rhexia_nashii,dry,colored,25
Rhexia_nuttallii,dry,colored,12
Rhexia_parviflora,dry,white,13
Rhexia_virginica,dry,colored,20
Rhynchanthera_apurensis,dry,colored,12
Rhynchanthera_brachyrhyncha,dry,colored,19
Rhynchanthera_bracteata,dry,colored,30
Rhynchanthera_cordata,dry,colored,12
Rhynchanthera_dichotoma,dry,colored,13
Rhynchanthera_gardneri,dry,colored,22
Rhynchanthera_grandiflora,dry,colored,25
Rhynchanthera_hispida,dry,colored,14
Rhynchanthera_latifolia,dry,colored,25
Rhynchanthera_mexicana,dry,colored,27
Rhynchanthera_novemnervia,dry,colored,25
Rhynchanthera_paludicola,dry,colored,17
Rhynchanthera_serrulata,dry,colored,15
Rhynchanthera_ursina,dry,colored,20
Rhynchanthera_verbenoides,dry,colored,20
Rostranthera_tetraptera,dry,colored,4.5
Rupestrea_carvalhoana,dry,colored,5
Salpinga_maguirei,dry,colored,5
Salpinga_secunda,dry,white,11
Sandemania_hoehnei,dry,colored,4.5
Sarcopyramis_bodinieri,dry,colored,4
Sarcopyramis_napalensis,dry,colored,13
Schwackaea_cupheoides,dry,colored,7
Scorpiothyrsus_erythrotrichus,dry,colored,2
Scorpiothyrsus_shangszeensis,dry,colored,7
Scorpiothyrsus_xanthostictus,dry,colored,3
Siphanthera_arenaria,dry,colored,5
Siphanthera_cordata,dry,colored,4.5
Siphanthera_cordifolia,dry,colored,4
Siphanthera_cowanii,dry,colored,2.7
Siphanthera_dawsonii,dry,white,2
Siphanthera_duidae,dry,colored,3
Siphanthera_foliosa,dry,colored,3
Siphanthera_hostmannii,dry,colored,1.7
Sonerila_calophylla,dry,colored,13
Sonerila_cantonensis,dry,colored,10
Sonerila_coriacea,dry,colored,15
Sonerila_dongnathamensis,dry,colored,5
Sonerila_erecta,dry,colored,7
Sonerila_griffithii,dry,colored,17
Sonerila_helferi,dry,colored,11
Sonerila_integrifolia,dry,colored,6
Sonerila_maculata,dry,colored,10
Sonerila_metallica,dry,colored,5.5
Sonerila_moluccana,dry,colored,7
Sonerila_obliqua,dry,colored,8
Sonerila_plagiocardia,dry,colored,11
Sonerila_rheedii,dry,colored,12
Sonerila_tuberosa,dry,colored,5
Sonerila_urceolata,dry,colored,13
Sonerila_violaefolia,dry,colored,10
Sporoxeia_clavicalcarata,dry,colored,7
Sporoxeia_sciadophila,dry,colored,9
Stanmarkia_medialis,dry,colored,17
Stanmarkia_spectabilis,dry,colored,25
Styrophyton_caudatum,dry,colored,1.5
Tashiroea_oligotricha,dry,colored,7
Tashiroea_quadrangularis,dry,colored,8
Tashiroea_sessilifolia,dry,colored,8
Tashiroea_sinensis,dry,colored,10
Tessmannianthus_carinatus,dry,colored,7.75
Tessmannianthus_cereifolius,dry,colored,3
Tessmannianthus_gordonii,dry,colored,4.5
Tetrazygia_barbata,fleshy,colored,8.5
Tetrazygia_bicolor,fleshy,colored,55
Tetrazygia_coriacea,fleshy,colored,11
Tetrazygia_cristalensis,fleshy,white,7.5
Tetrazygia_decorticans,fleshy,white,5.5
Tetrazygia_elaeagnoides,fleshy,white,12
Tetrazygia_lanceolata,fleshy,white,6.3
Tetrazygia_paralongicollis,fleshy,white,6.1
Tibouchina_aegopogon,dry,colored,18
Tibouchina_arthrostemmoides,dry,colored,17
Tibouchina_aspera,dry,colored,15
Tibouchina_bipenicillata,dry,colored,20
Tibouchina_caatingae,dry,colored,2
Tibouchina_chiapensis,dry,colored,8.5
Tibouchina_connata,dry,colored,12
Tibouchina_hintonii,dry,colored,12
Tibouchina_longisepala,dry,colored,15
Tibouchina_macvaughii,dry,colored,8
Tibouchina_nanifolia,dry,colored,15
Tibouchina_oroensis,dry,colored,20
Tibouchina_patens,dry,colored,19
Tibouchina_sinaloensis,dry,colored,15
Tibouchina_thulia,dry,colored,13
Tibouchina_tortuosa,dry,colored,15
Tibouchina_xochiatencana,dry,colored,25
Tigridiopalma_magnifica,dry,colored,10
Tococa_aristata,fleshy,colored,10
Tococa_bolivarensis,fleshy,colored,11
Tococa_broadwayi,fleshy,white,10
Tococa_bullifera,fleshy,colored,6.5
Tococa_capitata,fleshy,colored,7
Tococa_caquetana,fleshy,white,3.5
Tococa_carolensis,fleshy,white,11
Tococa_caryophyllaea,fleshy,colored,6
Tococa_caudata,fleshy,colored,3.5
Tococa_ciliata,fleshy,white,14
Tococa_cinnamomea,fleshy,colored,7
Tococa_cordata,fleshy,colored,14
Tococa_coronata,fleshy,colored,11
Tococa_croatii,fleshy,colored,6
Tococa_desiliens,fleshy,colored,7
Tococa_erioneura,fleshy,colored,6.5
Tococa_erythrophylla,fleshy,colored,6.5
Tococa_filiformis,fleshy,colored,9
Tococa_guianensis,fleshy,colored,15
Tococa_hirta,fleshy,white,13.5
Tococa_lancifolia,fleshy,colored,12
Tococa_liesneri,fleshy,colored,11.5
Tococa_macrophysca,fleshy,colored,9
Tococa_macroptera,fleshy,colored,12.5
Tococa_macrosperma,fleshy,colored,25
Tococa_meridensis,fleshy,white,7.5
Tococa_nitens,fleshy,colored,13
Tococa_obovata,fleshy,colored,22
Tococa_oligantha,fleshy,colored,8.5
Tococa_pachystachya,fleshy,colored,8
Tococa_parviflora,fleshy,white,5.5
Tococa_perclara,fleshy,colored,9
Tococa_platyphylla,fleshy,white,13
Tococa_quadrialata,fleshy,colored,13
Tococa_racemifera,fleshy,white,3.1
Tococa_raggiana,fleshy,colored,11
Tococa_rotundifolia,fleshy,colored,14.5
Tococa_spadiciflora,fleshy,colored,4
Tococa_stellata,fleshy,colored,13
Tococa_stephanotricha,fleshy,colored,13
Tococa_subciliata,fleshy,colored,11
Tococa_symphyandra,fleshy,colored,8
Tococa_tepuiensis,fleshy,colored,9.5
Topobea_parvifolia,fleshy,colored,10
Trembleya_acuminata,dry,colored,8.7
Trembleya_botaensis,dry,colored,14
Trembleya_parviflora,dry,white,10
Trembleya_phlogiformis,dry,colored,12
Trembleya_thomazii,dry,white,11
Triolena_calciphila,dry,white,90
Triolena_dressleri,dry,white,5
Triolena_hirsuta,dry,colored,5
Triolena_izabalensis,dry,white,8
Triolena_paleolata,dry,colored,13
Triolena_pileoides,dry,colored,3.5
Triolena_pumila,dry,white,7
Triolena_scorpioides,dry,colored,7.5
Triolena_spicata,dry,colored,3.5
Triolena_stenophylla,dry,white,8
Votomita_cupuliformis,fleshy,colored,8
Votomita_guianensis,fleshy,colored,6.5
Votomita_monadelpha,fleshy,colored,16
Votomita_monantha,fleshy,colored,7
Votomita_orbinaxia,fleshy,colored,9
Votomita_orinocensis,fleshy,white,5.8
Warneckea_masoalae,fleshy,white,4.5
