species,fruit_type,color,length.max_mm
Clidemia_crenulata,fleshy,white,3
Clidemia_cruegeriana,fleshy,colored,1.2
Clidemia_cymifera,fleshy,white,9
Clidemia_davidsei,fleshy,white,4
Clidemia_debilis,fleshy,white,2.5
Clidemia_dentata,fleshy,white,6.5
Clidemia_diffusa,fleshy,colored,4
Clidemia_discolor,fleshy,colored,2
Clidemia_donnell-smithii,fleshy,colored,6
Clidemia_epibaterium,fleshy,white,3
Clidemia_epiphytica,fleshy,white,3
Clidemia_fendleri,fleshy,white,2.5
Clidemia_flexuosa,fleshy,white,3.5
Clidemia_fluminensis,fleshy,colored,6
Clidemia_folsomii,fleshy,colored,4.5
Clidemia_fulva,fleshy,white,9
Clidemia_garciabarrigae,fleshy,colored,2
Clidemia_globuliflora,fleshy,colored,7
Clidemia_gracilis,fleshy,white,2
Clidemia_grandifolia,fleshy,white,2.4
Clidemia_granvillei,fleshy,white,2.5
Clidemia_heptamera,fleshy,white,7
Clidemia_heteroneura,fleshy,colored,1.4
Clidemia_hirta,fleshy,white,11
Clidemia_inopinata,fleshy,white,7
Clidemia_involucrata,fleshy,white,3.5
Clidemia_japurensis,fleshy,colored,2.5
Clidemia_juruensis,fleshy,colored,5
Clidemia_laevifolia,fleshy,colored,8
Clidemia_lanuginosa,fleshy,colored,4
Clidemia_laxiflora,fleshy,colored,3
Clidemia_matudae,fleshy,white,7.5
Clidemia_microthyrsa,fleshy,white,2.2
Clidemia_minutiflora,fleshy,white,2
Clidemia_morichensis,fleshy,white,4.2
Clidemia_mortoniana,fleshy,colored,6.5
Clidemia_myrmecina,fleshy,colored,7
Clidemia_novemnervia,fleshy,colored,5.5
Clidemia_oblonga,fleshy,white,1.5
Clidemia_octona,fleshy,white,10
Clidemia_ostentata,fleshy,white,4.4
Clidemia_ostrina,fleshy,colored,1.7
Clidemia_pakaraimae,fleshy,white,7
Clidemia_petiolaris,fleshy,white,7
Clidemia_pterosepala,fleshy,colored,2.5
Clidemia_pubescens,fleshy,colored,4.5
Clidemia_pustulata,fleshy,white,6
Clidemia_pycnaster,fleshy,colored,4.2
Clidemia_rodriguezii,fleshy,white,2
Clidemia_rubra,fleshy,colored,3
Clidemia_saltuensis,fleshy,white,1.2
